,year,org_id,loan_amt,entity_structure,total_proj_cost,food_desert,food_desert_2,hffi_year,proj_desc,bus_type,activity,activity_other,latitude,longitude,street,address_2,city,state,zipcode,zipcode_4,fips,address,location,point,lat,long,alt
516,2014,1985,5210.0,FORPROFIT,5210.0,OTHER,USDA Food Atlas 2012,,Restr and retail srvg local produce for immediate consumption; distribution; LA/LI area,NONRETAIL,,,,,379 Main Street,,Longmont,CO,80501.0,,,"379 Main Street,Longmont,CO,80501","379, Main Street, Longmont Downtown, Dominion, Longmont, Boulder County, Colorado, 80501, United States of America","(40.16529208163265, -105.10262140816326, 0.0)",40.16529208163265,-105.10262140816326,0.0
517,2014,1985,4720.0,FORPROFIT,4720.0,OTHER,usda 2012,,healthy and whole foods manufacturer distributor,NONRETAIL,,,,,1820 Industrial Circle,,Longmont,CO,80501.0,,,"1820 Industrial Circle,Longmont,CO,80501","1820, Industrial Circle, Dominion, Longmont, Boulder County, Colorado, 80501, United States of America","(40.148045651641375, -105.12326882720564, 0.0)",40.148045651641375,-105.12326882720564,0.0
518,2014,1985,36200.0,FORPROFIT,36200.0,OTHER,USDA 2013 map,,Goat Dairy & Retail,NONRETAIL,,,,,31700 US Highway 24 North,,Buena Vista,CO,81211.0,,,"31700 US Highway 24 North,Buena Vista,CO,81211","31700, US Highway 24, Buena Vista, Chaffee County, Colorado, 81211, United States of America","(38.87942154902985, -106.16106012269479, 0.0)",38.87942154902985,-106.16106012269479,0.0
520,2014,1985,153400.0,,1000000.0,ERS,,,Grocery Store,RETAIL,,,,,1461 East Eisenhower Boulevard,,Loveland,CO,80537.0,,8069001706.0,"1461 East Eisenhower Boulevard,Loveland,CO,80537","1461, East Eisenhower Boulevard, Browns Corner, Loveland, Larimer County, Colorado, 80537, United States of America","(40.4075794527879, -105.05612276756922, 0.0)",40.4075794527879,-105.05612276756922,0.0
521,2014,1985,76300.0,FORPROFIT,76300.0,ERS,,,Paleo foods restaurant,NONRETAIL,,,,,3303 30th Street,,Boulder,CO,80303.0,,,"3303 30th Street,Boulder,CO,80303","AOI Sushi and Izakaya, 3303, 30th Street, Ara, Boulder, Boulder County, Colorado, 80301, United States of America","(40.0353272, -105.2544967, 0.0)",40.0353272,-105.2544967,0.0
524,2014,1985,40995.0,FORPROFIT,40995.0,ERS,,,CO4F Commercial Kitchen & market,RETAIL,,,,,619 Main Street,,Canon City,CO,81212.0,,,"619 Main Street,Canon City,CO,81212","619, Main Street, East Cañon, Cañon City, Fremont County, Colorado, 81212, United States of America","(38.44137506211876, -105.23914831044381, 0.0)",38.44137506211876,-105.23914831044381,0.0
525,2014,1985,6375.0,FORPROFIT,6375.0,ERS,,,SALAD FOOD TRUCK,RETAIL,,,,,647 Dakota Boulevard,,Boulder,CO,80304.0,,8013013701.0,"647 Dakota Boulevard,Boulder,CO,80304","647, Dakota Boulevard, Boulder, Boulder County, Colorado, 80304, United States of America","(40.06544230612245, -105.28655453061224, 0.0)",40.06544230612245,-105.28655453061224,0.0
526,2014,1985,5210.0,FORPROFIT,5210.0,ERS,,,Restr and retail srvg local produce for immediate consumption; distribution; LA/LI area,NONRETAIL,,,,,379 Main Street,,Longmont,CO,80501.0,,,"379 Main Street,Longmont,CO,80501","379, Main Street, Longmont Downtown, Dominion, Longmont, Boulder County, Colorado, 80501, United States of America","(40.16529208163265, -105.10262140816326, 0.0)",40.16529208163265,-105.10262140816326,0.0
527,2014,1985,4235.0,FORPROFIT,4235.0,ERS,,,H&W snack food prod & distrb,NONRETAIL,,,,,252 Hackamore Road,,Edwards,CO,81632.0,,,"252 Hackamore Road,Edwards,CO,81632","252, Hackamore Road, Edwards Village, Edwards, Eagle County, Colorado, 81632, United States of America","(39.64834526612446, -106.58220878492224, 0.0)",39.64834526612446,-106.58220878492224,0.0
528,2014,1985,30845.0,FORPROFIT,30845.0,OTHER,usda 2012,,whole foods local foods distribution,NONRETAIL,,,,,8835 West 116th Circle,,Broomfield,CO,80021.0,,,"8835 West 116th Circle,Broomfield,CO,80021","West 116th Circle, Broomfield, City and County of Broomfield, Colorado, 80021, United States of America","(39.9061023, -105.0965366, 0.0)",39.9061023,-105.0965366,0.0
530,2014,110,175000.0,,207143.5,ERS,,,Financed Fiddleheads Food Co-op expansion of retail food co-op adjacent to a food desert tract.,RETAIL,,,,,13 Broad St.,,New London,CT,6320.0,,9011690500.0,"13 Broad St.,New London,CT,6320","Fiddleheads Food Cooperative, 13, Broad Street, Williams Memorial Park Historic District, Downtown New London, New London, New London County, Connecticut, 06320, United States of America","(41.355899, -72.0997518, 0.0)",41.355899,-72.0997518,0.0
